ds,yhat_prophet,yhat_sarimax,yhat_lgbm
2020-01-01,-10153701.513024569,-58602100.00000022,54688780.857425176
2020-02-01,322751281.71601796,302437969.1999999,286003798.3337727
2020-03-01,-147893757.86660147,220850980.99999988,101926455.73956625
2020-04-01,884770065.0767066,212416936.19999993,443336381.7873357
2020-05-01,941361896.5874279,181525184.51219404,451903075.06164074
2020-06-01,-201097966.64183474,46003388.60000008,25909188.681155223
2020-07-01,1085763973.4671526,96426491.00000001,471670869.51748437
2020-08-01,494686636.18465376,682340939.0,469949906.4233181
2020-09-01,-647291969.4977733,191479186.99999994,-74330212.80415767
2020-10-01,1375024979.119086,15426034.99999994,541091052.7347955
2020-11-01,1102359725.626531,213391583.0,516191150.9039437
2020-12-01,-812103419.1711383,251280317.44745994,-109333652.54612601
