ds,yhat_prophet,yhat_sarimax,yhat_lgbm
2020-01-01,-10153701.513024569,-58602100.00000022,66495767.71788063
2020-02-01,322751281.71601796,302437969.1999999,297810785.1942282
2020-03-01,-147893757.86660147,220850980.99999988,113733442.60002168
2020-04-01,884770065.0767066,212416936.19999993,455143368.64779115
2020-05-01,941361896.5874279,181525184.51219404,463710061.9220962
2020-06-01,-201097966.64183474,46003388.60000008,37716175.541610666
2020-07-01,1085763973.4671526,96426491.00000001,483477856.37793976
2020-08-01,494686636.18465376,682340939.0,481756893.2837735
2020-09-01,-647291969.4977733,191479186.99999994,-62523225.94370223
2020-10-01,1375024979.119086,15426034.99999994,552898039.595251
2020-11-01,1102359725.626531,213391583.0,527998137.76439923
2020-12-01,-812103419.1711383,251280317.44745994,-97526665.68567057
